Östlig koordinat;Nordlig koordinat;z;Plats;Djup (längd);Borr-avslut;diameter (mm);material;Rör överkant (Rök);Rör över marknivå (Röm);Marknivå;obsid;Status;Copy this Data for Point;Copy for Point ID;Placering
154845.433;6592143.846;0;DP1;4;mot förmodat berg;51;stål;16,216;0,6;15.616;20BT06G;aktiv;point 154845.433,6592143.846,0;-text 154845.433,6592143.846,0   20BT06G;-
154843.109;6591966.993;0;DP1;5,5;mot förmodat berg;51;stål;17,456;1;16.456;20BT08G;aktiv;point 154843.109,6591966.993,0;-text 154843.109,6591966.993,0   20BT08G;Behöver flyttas eller tas bort (OBOS Kv.1:10 innan Q4-2024)
155195.928;6592185.357;0;DP1;4;mot förmodat berg;51;stål;20,497;1,35;19.147;20BT13G;aktiv;point 155195.928,6592185.357,0;-text 155195.928,6592185.357,0   20BT13G;Behöver flyttas (Kv. 5:4 eller 5:5) eller tas bort i samband med Grannskapspark 2.
155130.0994;6592469.286;0;DP10;0;stopp i förmodat berg;51;stål;12,742;0,87;11.8719;21BT31;aktiv;point 155130.0994,6592469.286,0;-text 155130.0994,6592469.286,0   21BT31;TKs mättning
154494.2394;6591962.731;0;DP4;9,3;10,5;25,4;stål;12,7;1,2;11.5;19ST08;aktiv;point 154494.2394,6591962.731,0;-text 154494.2394,6591962.731,0   19ST08;Behöver flyttas västerut till 1m från utsida arbetsbädd eller tas bort
154781.293;6591968.334;0;DP4;6;mot förmodat berg;51;stål;14,913;0,97;13.943;20BT05G;aktiv;point 154781.293,6591968.334,0;-text 154781.293,6591968.334,0   20BT05G;Behöver flyttas inom 2 år (i samråd med TK)
154704.8348;6591847.202;0;DP4;11;stopp i förmodat berg;51;stål;13,64;1,31;12.327;21BT01;aktiv;point 154704.8348,6591847.202,0;-text 154704.8348,6591847.202,0   21BT01;Behöver flyttas inom 2 år (i samråd med TK)
154729.7301;6591770.422;0;DP4;11,2;stopp i förmodat berg;51;stål;13,28;1;12.2795;21BT02;aktiv;point 154729.7301,6591770.422,0;-text 154729.7301,6591770.422,0   21BT02;Behöver flyttas inom 2 år (i samråd med TK)
154602.692;6591885.719;0;DP4;10,63;stopp i förmodat berg;51;stål;12,57;1;11.5717;21BT06;aktiv;point 154602.692,6591885.719,0;-text 154602.692,6591885.719,0   21BT06;Behöver flyttas västerut 1m från utsida arbetsbädd eller tas bort
154378.3813;6591941.627;0;DP4;8;stopp i förmodat berg;51;stål;13,42;0,9;12.519;21BT08;aktiv;point 154378.3813,6591941.627,0;-text 154378.3813,6591941.627,0   21BT08;Behöver flyttas österut 1m från utsida arbetsbädd eller tas bort
